station_id,lon,lat,name
3379,11.5429,48.1631,München-Stadt
3382,11.6000,48.1441,München-Bogenhausen
3385,11.5011,48.1660,München-Nymphenburg
3390,11.7094,48.1369,München-Riem
3402,9.4837,48.3851,Münsingen-Apfelstetten
3404,7.5906,51.9494,Münster
3426,14.7009,51.5660,"Muskau,"
3442,8.7506,50.3574,"Nauheim,"
3478,13.1914,53.5468,Neubrandenburg
3484,11.2096,48.7097,Neuburg/Donau
3485,10.3771,48.3116,Neuburg/Kammel-Langenhaslach
3490,7.0853,50.5346,"Neuenahr,"
3509,13.0421,53.1020,Menz
3513,11.1344,50.5002,Neuhaus
3527,9.4053,50.8924,Neukirchen-Hauptschwenda
3540,7.3720,50.8446,Neunkirchen-Seelscheid-Krawinkel
3545,7.2295,49.3436,Neunkirchen-Wellesweiler
3552,12.8072,52.9037,Neuruppin
3571,11.8638,49.8174,Neustadt
3575,8.1405,49.3570,Neustadt/Weinstraße
3577,13.0502,53.3585,Neustrelitz
3591,6.4237,50.6744,Nideggen-Schmidt
3603,9.9666,49.3895,Niederstetten
3605,10.2430,48.5334,Niederstotzingen
3612,9.2229,52.6711,Nienburg
3621,10.5066,48.8254,Reimlingen
3623,6.6602,50.8294,Nörvenich
3631,7.1519,53.7123,Norderney
3639,8.6583,53.7647,Nordholz
3659,6.9501,50.3391,Nürburg
3660,6.8697,50.3601,Nürburg-Barweiler
3667,11.2538,49.4258,Nürnberg-Netzstall
3668,11.0549,49.5030,Nürnberg
3671,9.3261,48.6321,Nürtingen
3679,12.1666,47.6185,Kiefersfelden-Gach
3730,10.2760,47.3986,Oberstdorf
3734,9.3525,49.1280,Obersulm-Willsbach
3739,12.4366,49.4521,Oberviechtach
3761,9.5175,49.2070,Öhringen
3791,8.1824,53.1763,Oldenburg
3811,13.0928,51.2960,Oschatz
3815,8.0534,52.2553,Osnabrück
3821,11.9292,51.0873,Osterfeld
3836,10.2210,50.4538,Ostheim
3857,10.3891,47.6360,Oy-Mittelberg-Petersthal
3875,11.6896,49.1510,Parsberg/Oberpfalz-Eglwang
3879,13.4694,48.5779,Passau-Oberhaus
3897,10.8773,54.0893,Pelzerhaken
3904,6.3804,49.5356,Perl-Nennig
3925,8.6959,48.9318,Pforzheim-Ispringen
3927,9.2869,47.9344,Pfullendorf
3939,7.5875,49.1911,Pirmasens
3946,12.1300,50.4819,Plauen
3975,11.5355,49.4778,Pommelsbrunn-Mittelburg
3987,13.0622,52.3813,Potsdam
4018,11.2206,48.1877,Puch
4024,13.4771,54.3643,Putbus
4032,11.1319,51.7954,Quedlinburg
4036,11.5414,51.3895,Querfurt-Mühle
4039,9.8776,53.7331,Quickborn
4063,8.5906,52.4461,Rahden-Kleinendorf
4094,9.6206,47.8062,"Weingarten,"
4104,12.1021,49.0424,Regensburg
4127,7.6958,50.9906,Reichshof-Eckenhagen
4154,7.2505,51.1800,Remscheid-Lennep
4160,8.9240,48.7425,Renningen-Ihinger
4169,7.9939,48.6703,Rheinau-Memprechtshofen
4174,7.3866,52.2887,Rheine-Bentlage
4175,7.7721,47.5590,Rheinfelden
4177,8.3302,48.9726,Rheinstetten
4189,9.4596,48.1479,"Altheim,"
4261,12.1279,47.8752,Rosenheim
4271,12.0805,54.1802,Rostock-Warnemünde
4275,9.3398,53.1288,Rotenburg
4280,11.1036,49.2164,Roth
4287,10.1732,49.3848,Rothenburg
4294,8.9687,48.4704,Rottenburg-Kiebingen
4300,8.6356,48.1814,Rottweil
4301,7.8710,49.8502,"Kreuznach,"
4323,7.8835,49.6467,Ruppertsecken
4336,7.1077,49.2128,Saarbrücken-Ensheim
4339,7.0168,49.2231,Saarbrücken-Sankt
4347,10.5691,51.5909,"Sachsa,"
4349,9.0710,48.9569,Sachsenheim
4354,13.3145,48.7832,Saldenburg-Entschenreuth
4371,8.7521,52.1042,"Salzuflen,"
4373,11.1430,52.8568,Salzwedel
4377,10.0032,50.3519,Sandberg
4393,8.6030,54.3279,Sankt
4411,8.9671,49.9195,Schaafheim-Schlierbach
4445,10.6533,51.7658,Wernigerode-Schierke
4464,11.8041,50.5679,Schleiz
4466,9.5486,54.5275,Schleswig
4480,9.5534,50.3447,Schlüchtern-Herolz
4485,10.4540,50.7252,"Schmalkalden,"
4501,10.7693,50.6546,Schmücke
4508,6.4194,50.2968,Schneifelforsthaus
4548,12.1435,50.2046,Selb/Oberfranken-Lauterbach
4559,12.6176,49.1646,Schorndorf-Knöbling
4560,9.1228,50.4927,Schotten
4584,11.8000,48.3667,Schwaigermoos
4592,12.0871,49.3278,Schwandorf
4605,11.1937,50.6440,Schwarzburg
4625,11.3872,53.6425,Schwerin
4629,9.1420,54.5166,Schwesing
4642,11.7297,52.8911,Seehausen
4651,10.1888,51.9044,Seesen
4692,7.9966,50.8534,Siegen
4702,9.2500,48.1000,Sigmaringen
4703,9.1942,48.0719,Sigmaringen-Laiz
4704,9.7404,47.5776,Sigmarszell-Zeisertsweiler
4706,13.0273,48.2719,Simbach/Inn
4709,7.5981,49.9996,Simmern-Wahlbach
4719,8.8787,49.2447,Sinsheim
4745,9.7931,52.9604,Soltau
4748,10.9059,51.3520,Sondershausen
4752,11.1828,50.3746,Sonneberg-Neufang
4763,9.9266,51.0607,Sontra
4841,8.8735,53.6946,"Steinau,"
4857,9.6094,53.5527,Mittelnkirchen-Hohenfelde
4878,10.8823,51.6681,Oberharz
4887,9.8646,48.6657,Stötten
4896,9.8050,54.6654,Wagersrott
4911,12.5598,48.8275,Straubing
4926,9.2167,48.7896,Stuttgart
4927,9.1814,48.7693,Stuttgart-Stadt
4928,9.2000,48.8282,Stuttgart
4931,9.2235,48.6883,Stuttgart-Echterdingen
4933,9.2147,48.7091,Stuttgart-Hohenheim
4978,10.0228,50.6390,Tann/Rhön
4997,12.3432,50.9777,Starkenberg-Tegkwitz
5009,12.5574,53.7610,Teterow
5014,8.9857,53.2758,Worpswede-Hüttenbusch
5017,11.3889,50.4002,Teuschnitz
5029,7.0386,49.4738,Tholey
5046,12.3541,49.8578,Tirschenreuth-Lodermühl
